asset;date;open;high;low;close;business;volume
WDOFUT;07/06/2021;5232,48;5263,55;5209,69;5249,05;1,63318178E11;3229509
WDOFUT;04/06/2021;5304,98;5307,05;5224,71;5240,76;1,622553485E11;3195649
WDOFUT;02/06/2021;5354,69;5372,82;5261,48;5270,28;2,172988984E11;4239738
WDOFUT;01/06/2021;5399,75;5408,55;5338,12;5349,00;1,676255704E11;3236537
WDOFUT;31/05/2021;5430,30;5465,52;5398,71;5419,43;1,162605622E11;2216540
WDOFUT;28/05/2021;5464,59;5467,71;5414,71;5432,37;1,204815662E11;2303999
WDOFUT;27/05/2021;5515,52;5522,27;5442,25;5443,81;1,881365765E11;3566599
WDOFUT;26/05/2021;5535,78;5553,97;5497,33;5523,31;1,550998621E11;2917204
WDOFUT;25/05/2021;5522,79;5560,21;5505,12;5543,06;1,493743207E11;2808990
WDOFUT;24/05/2021;5575,80;5589,83;5522,79;5529,55;1,300582038E11;2440472
WDOFUT;21/05/2021;5497,85;5586,71;5482,78;5578,39;1,66368652E11;3127684
WDOFUT;20/05/2021;5518,63;5521,23;5482,26;5497,33;1,393988095E11;2633586
WDOFUT;19/05/2021;5500,45;5540,98;5471,87;5526,95;1,798122732E11;3395435
WDOFUT;18/05/2021;5477,06;5495,25;5442,77;5473,94;1,721900491E11;3271549
WDOFUT;17/05/2021;5503,04;5536,30;5458,87;5491,09;1,611428906E11;3047674
WDOFUT;14/05/2021;5503,04;5512,92;5458,87;5487,46;1,58708789E11;3007075
WDOFUT;13/05/2021;5520,19;5550,85;5467,71;5523,31;2,093181856E11;3949919
WDOFUT;12/05/2021;5449,52;5537,34;5424,58;5524,87;2,169865204E11;4124919
WDOFUT;11/05/2021;5453,68;5498,89;5417,30;5437,05;1,860757585E11;3545592
WDOFUT;10/05/2021;5454,72;5468,75;5411,07;5439,65;1,773875831E11;3387709
WDOFUT;07/05/2021;5500,45;5513,96;5418,86;5455,76;1,859218489E11;3543529
WDOFUT;06/05/2021;5568,52;5598,14;5476,02;5498,37;2,094648156E11;3941353
WDOFUT;05/05/2021;5664,65;5671,93;5574,24;5576,31;1,806384797E11;3344435
WDOFUT;04/05/2021;5689,08;5712,46;5637,11;5674,01;1,821038372E11;3336155
WDOFUT;03/05/2021;5641,27;5683,36;5598,14;5667,77;1,824083846E11;3358722
WDOFUT;30/04/2021;5579,95;5675,57;5558,13;5666,73;1,819932658E11;3360342
WDOFUT;29/04/2021;5569,06;5599,76;5543,04;5557,61;1,754862522E11;3273047
WDOFUT;28/04/2021;5675,74;5680,95;5562,81;5564,37;2,13725156E11;3957221
WDOFUT;27/04/2021;5663,25;5692,40;5633,07;5675,74;1,892885711E11;3477617
WDOFUT;26/04/2021;5680,95;5716,34;5657,01;5662,21;1,673138777E11;3065337
WDOFUT;23/04/2021;5653,89;5751,73;5648,68;5701,24;1,796579429E11;3279051
